年月日,名前,項目,内容
R7.10.23,藤原叶朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,三成皓朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,今井洋朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,深澤慎朗,県内者UT者(前住)IT者(出身),IT者(東京都)
R7.10.23,森山杏朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,竹下義朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,川上貴朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,今岡孝朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,川上亜朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,勝部和朗,県内者UT者(前住)IT者(出身),
R7.10.23,春日佑朗,県内者UT者(前住)IT者(出身),IT者(大阪府)
R7.10.23,郷原一朗,県内者UT者(前住)IT者(出身),UT者(広島県)
R7.10.23,服部伸朗,県内者UT者(前住)IT者(出身),IT者(兵庫県)
R7.10.23,金子英朗,県内者UT者(前住)IT者(出身),UT者(大阪府)
R7.10.23,國本崇朗,県内者UT者(前住)IT者(出身),IT者(広島県)
R7.10.23,芝田大朗,県内者UT者(前住)IT者(出身),IT者(広島県)
R7.10.23,大和田朗,県内者UT者(前住)IT者(出身),IT者(広島県)
R7.10.23,杉伸太朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,大塚由朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,米山加朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,今岡義朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,手銭洸朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,伊藤颯朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,錦織誠朗,研修方法,雇用経由
R7.10.23,吉田悠朗,研修方法,雇用経由
R7.10.23,佐野瑞朗,研修方法,雇用経由
R7.10.23,谷口太朗,研修方法,雇用経由
R7.10.23,恩田優朗,研修方法,雇用経由
R7.10.23,橋本正朗,研修方法,農林大
R7.10.23,大福ひ朗,研修方法,農林大
R7.10.23,冨田里朗,研修方法,農林大
R7.10.23,大田瑠朗,研修方法,雇用経由
R7.10.23,佐々木朗,研修方法,雇用経由
R7.10.23,藤原駿朗,研修方法,雇用経由
R7.10.23,原淳夫朗,研修方法,農林大
R7.10.23,石飛葵朗,研修方法,農林大
R7.10.23,大島浩朗,研修方法,雇用経由
R7.10.23,藤原叶朗,研修方法,雇用経由
R7.10.23,三成皓朗,研修方法,雇用経由
R7.10.23,今井洋朗,研修方法,雇用経由
R7.10.23,深澤慎朗,研修方法,雇用経由
R7.10.23,森山杏朗,研修方法,独自農家
R7.10.23,竹下義朗,研修方法,雇用経由
R7.10.23,川上貴朗,研修方法,農林大
R7.10.23,今岡孝朗,研修方法,農林大
R7.10.23,川上亜朗,研修方法,独自農家
R7.10.23,勝部和朗,研修方法,
R7.10.23,春日佑朗,研修方法,産業体験
R7.10.23,郷原一朗,研修方法,産業体験
R7.10.23,服部伸朗,研修方法,産業体験
R7.10.23,金子英朗,研修方法,産業体験
R7.10.23,國本崇朗,研修方法,産業体験
R7.10.23,芝田大朗,研修方法,産業体験
R7.10.23,大和田朗,研修方法,産業体験
R7.10.23,杉伸太朗,研修方法,雇用経由
R7.10.23,大塚由朗,研修方法,雇用経由
R7.10.23,米山加朗,研修方法,農林大
R7.10.23,今岡義朗,研修方法,雇用経由
R7.10.23,手銭洸朗,研修方法,雇用経由
R7.10.23,伊藤颯朗,研修方法,雇用経由
R7.10.23,錦織誠朗,研修・雇用期間※現段階の期間,R4.4～Ｒ6.3
R7.10.23,吉田悠朗,研修・雇用期間※現段階の期間,R4.4～Ｒ6.3
R7.10.23,佐野瑞朗,研修・雇用期間※現段階の期間,R5.4.1～未定
R7.10.23,谷口太朗,研修・雇用期間※現段階の期間,R5.1.1～R6.12
R7.10.23,恩田優朗,研修・雇用期間※現段階の期間,Ｒ3.4.1～未定　　　　
R7.10.23,橋本正朗,研修・雇用期間※現段階の期間,R6.4～R7.2
R7.10.23,大福ひ朗,研修・雇用期間※現段階の期間,R6.4～R7.2
R7.10.23,冨田里朗,研修・雇用期間※現段階の期間,R6.4～R7.2
R7.10.23,大田瑠朗,研修・雇用期間※現段階の期間,
R7.10.23,佐々木朗,研修・雇用期間※現段階の期間,
R7.10.23,藤原駿朗,研修・雇用期間※現段階の期間,R2年4月頃～現在
R7.10.23,原淳夫朗,研修・雇用期間※現段階の期間,R6.4.1～R7.2.28終了
R7.10.23,石飛葵朗,研修・雇用期間※現段階の期間,R5年4月～R7年3月
R7.10.23,大島浩朗,研修・雇用期間※現段階の期間,R5年4月～未定終了して雇用
R7.10.23,藤原叶朗,研修・雇用期間※現段階の期間,R6年4月～未定R10
R7.10.23,三成皓朗,研修・雇用期間※現段階の期間,R6年4月～R11
R7.10.23,今井洋朗,研修・雇用期間※現段階の期間,R6年4月～未定
R7.10.23,深澤慎朗,研修・雇用期間※現段階の期間,R6年5月～R7年3月
R7.10.23,森山杏朗,研修・雇用期間※現段階の期間,R6年9月～R7年3月
R7.10.23,竹下義朗,研修・雇用期間※現段階の期間,R6年4月～現在R7.12月
R7.10.23,川上貴朗,研修・雇用期間※現段階の期間,（R7年4月～予定）R8年2月
R7.10.23,今岡孝朗,研修・雇用期間※現段階の期間,（R7年4月～予定）R8年3月
R7.10.23,川上亜朗,研修・雇用期間※現段階の期間,
R7.10.23,勝部和朗,研修・雇用期間※現段階の期間,
R7.10.23,春日佑朗,研修・雇用期間※現段階の期間,R7年9月～R8.3(予定）R10年9月
R7.10.23,郷原一朗,研修・雇用期間※現段階の期間,R7.9～R8.3（予定）
R7.10.23,服部伸朗,研修・雇用期間※現段階の期間,R7.5～R8.3
R7.10.23,金子英朗,研修・雇用期間※現段階の期間,R7.6～R8.3R10.9
R7.10.23,國本崇朗,研修・雇用期間※現段階の期間,R7.10～R8.3R10.9
R7.10.23,芝田大朗,研修・雇用期間※現段階の期間,R7.4～R8.3
R7.10.23,大和田朗,研修・雇用期間※現段階の期間,R7.6～R8.3
R7.10.23,杉伸太朗,研修・雇用期間※現段階の期間,
R7.10.23,大塚由朗,研修・雇用期間※現段階の期間,R7.10～R8.12
R7.10.23,米山加朗,研修・雇用期間※現段階の期間,R8.4～R9.3
R7.10.23,今岡義朗,研修・雇用期間※現段階の期間,R8.1～R9.3
R7.10.23,手銭洸朗,研修・雇用期間※現段階の期間,R6.4～R9.3
R7.10.23,伊藤颯朗,研修・雇用期間※現段階の期間,R6.4～R11.3
R7.10.23,錦織誠朗,就農区分（予定含）,認新
R7.10.23,吉田悠朗,就農区分（予定含）,認新
R7.10.23,佐野瑞朗,就農区分（予定含）,　
R7.10.23,谷口太朗,就農区分（予定含）,認新
R7.10.23,恩田優朗,就農区分（予定含）,　
R7.10.23,橋本正朗,就農区分（予定含）,認新
R7.10.23,大福ひ朗,就農区分（予定含）,認新
R7.10.23,冨田里朗,就農区分（予定含）,認新
R7.10.23,大田瑠朗,就農区分（予定含）,　
R7.10.23,佐々木朗,就農区分（予定含）,
R7.10.23,藤原駿朗,就農区分（予定含）,認新
R7.10.23,原淳夫朗,就農区分（予定含）,認新
R7.10.23,石飛葵朗,就農区分（予定含）,認新
R7.10.23,大島浩朗,就農区分（予定含）,認新
R7.10.23,藤原叶朗,就農区分（予定含）,認新
R7.10.23,三成皓朗,就農区分（予定含）,
R7.10.23,今井洋朗,就農区分（予定含）,　
R7.10.23,深澤慎朗,就農区分（予定含）,認新
R7.10.23,森山杏朗,就農区分（予定含）,認新
R7.10.23,竹下義朗,就農区分（予定含）,認新
R7.10.23,川上貴朗,就農区分（予定含）,認新
R7.10.23,今岡孝朗,就農区分（予定含）,認新
R7.10.23,川上亜朗,就農区分（予定含）,認新
R7.10.23,勝部和朗,就農区分（予定含）,認新
R7.10.23,春日佑朗,就農区分（予定含）,認新
R7.10.23,郷原一朗,就農区分（予定含）,認新
R7.10.23,服部伸朗,就農区分（予定含）,認新
R7.10.23,金子英朗,就農区分（予定含）,認新
R7.10.23,國本崇朗,就農区分（予定含）,認新
R7.10.23,芝田大朗,就農区分（予定含）,認新
R7.10.23,大和田朗,就農区分（予定含）,認新
R7.10.23,杉伸太朗,就農区分（予定含）,認新
R7.10.23,大塚由朗,就農区分（予定含）,認新
R7.10.23,米山加朗,就農区分（予定含）,認新
R7.10.23,今岡義朗,就農区分（予定含）,認新
R7.10.23,手銭洸朗,就農区分（予定含）,制度外
R7.10.23,伊藤颯朗,就農区分（予定含）,制度外
R7.10.23,錦織誠朗,＜研修、就農内容等の特記事項＞,農大卒業後、２年間担い手育成協定経営体で雇用研修。R5.6青年等就農計画認定
R7.10.23,吉田悠朗,＜研修、就農内容等の特記事項＞,R4.3農大卒業後、農技センターに勤務し、ぶどう栽培管理の経験を積んでいる。R6年春から祖父の農業を手伝い、R6.5青年等就農計画認定。
R7.10.23,佐野瑞朗,＜研修、就農内容等の特記事項＞,R5.3農大（果樹専攻）卒業。雇用研修中（雇用就農資金活用中）令和１０年３月頃を目安に自営就農を目指している。
R7.10.23,谷口太朗,＜研修、就農内容等の特記事項＞,土建業から転職、ぶどうでの就農を目指し、アグリ開発で２年間の雇用研修（雇用就農資金活用）を経て、R6.7青年等就農計画認定。
R7.10.23,恩田優朗,＜研修、就農内容等の特記事項＞,R3.3農大（果樹専攻）卒業。松江市出身。出雲でぶどうでの就農を目指し、雇用研修中。アグリ開発ぶどう部門でトップの技術者で、会社としても重要な人材となっている。本人の意向が、会社に指導者として残る道に傾いてきている（R5.8.3社長から聞取り）。※本リストから削除するか要検討
R7.10.23,橋本正朗,＜研修、就農内容等の特記事項＞,産業体験：R5.4.1～R6.3.31アスパラでの就農を目指し、Ｒ6年4月農大短期養成コース入学。Ｒ６年５月就農計画認定。
R7.10.23,大福ひ朗,＜研修、就農内容等の特記事項＞,ぶどうでの就農を目指し、Ｒ6年4月農大短期養成コース入学。Ｒ６年５月就農計画認定。
R7.10.23,冨田里朗,＜研修、就農内容等の特記事項＞,産業体験：R5.4.1～R6.3.31アスパラでの就農を目指し、Ｒ6年4月農大短期養成コース入学。R6.7青年等就農計画認定。
R7.10.23,大田瑠朗,＜研修、就農内容等の特記事項＞,R5.3農林大卒業、就農準備資金。３～４年雇用就農後、地元の隠岐の島での自営就農希望※研修地（出雲農業部）でカウント
R7.10.23,佐々木朗,＜研修、就農内容等の特記事項＞,R5.3農林大卒業、就農準備資金。雇用就農しており今後は未定。
R7.10.23,藤原駿朗,＜研修、就農内容等の特記事項＞,農大（２年課程）卒業後、神田農産（株）で雇用研修、現在７年目。Ｒ８年３月就農を目指し、就農計画作成を進める（R6.6.11面談）。
R7.10.23,原淳夫朗,＜研修、就農内容等の特記事項＞,おかずくらぶにて臨時雇用されながらの研修を経て市内のいちご農家からの第三者継承による就農を希望し、R6年4月農林大短期養成コース入学。　　り
R7.10.23,石飛葵朗,＜研修、就農内容等の特記事項＞,農大養成課程１年生、卒業後自営就農希望、関係機関で既に２回就農相談対応。父が認定農業者・指導農業士。父と同じ経営作目（野菜）で、父の経営とは別に、4/1に新たに経営開始した。
R7.10.23,大島浩朗,＜研修、就農内容等の特記事項＞,Ｒ5年3月農大野菜専攻卒、いちごでの独立自営就農を目指し、（株）わなかで雇用研修開始。研修期間は未定（生越社長は５年間を勧めている）。就農地は実家のある出雲市所原町周辺を希望。→研修先でカウント　出雲市大田市
R7.10.23,藤原叶朗,＜研修、就農内容等の特記事項＞,R6.3農林大卒業。
R7.10.23,三成皓朗,＜研修、就農内容等の特記事項＞,R6.3農林大卒業。
R7.10.23,今井洋朗,＜研修、就農内容等の特記事項＞,R6.3農林大卒業。
R7.10.23,深澤慎朗,＜研修、就農内容等の特記事項＞,R7年4月農林大短期養成コース入学予定希望。
R7.10.23,森山杏朗,＜研修、就農内容等の特記事項＞,R7年4月農林大短期養成コース入学予定希望。
R7.10.23,竹下義朗,＜研修、就農内容等の特記事項＞,現在、ハウス建設予定地を探している（候補地は古志と長浜の２か所）。R７年度ハウス等整備事業の要望調査に手挙げ済み。R7.9月ハウス等整備事業交付決定を受けてハウス１棟建設中（荒茅町）
R7.10.23,川上貴朗,＜研修、就農内容等の特記事項＞,R7年4月農林大短期養成コース入学予定。
R7.10.23,今岡孝朗,＜研修、就農内容等の特記事項＞,R7年4月農林大短期養成コース入学予定。
R7.10.23,川上亜朗,＜研修、就農内容等の特記事項＞,祖父が栽培をしていたぶどう施設を継承し、周りの農家に教えてもらいながらR5年9月30日～就農を開始した。令和7年度に実績認定をした。
R7.10.23,勝部和朗,＜研修、就農内容等の特記事項＞,就農準備資金
R7.10.23,春日佑朗,＜研修、就農内容等の特記事項＞,叔父のぶどう園（大社町）で手伝いをしている。R8年4月農林大学校短期養成コース入学予定希望ぶどう団地への入植希望叔父と親戚が規模縮小する農地を引継ぎ就農する計画で検討中
R7.10.23,郷原一朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望R7年10月10日就農相談予定(ﾊｳｽ見積金額等の計画変更)
R7.10.23,服部伸朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望R7年8月兵庫県へ帰る。
R7.10.23,金子英朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望ぶどう団地への入植希望
R7.10.23,國本崇朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望ぶどう団地への入植希望
R7.10.23,芝田大朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望
R7.10.23,大和田朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望農地23aを確保(生産圃場継承)(R7年10月6日就農相談)自営就農は断念し農業に限らず就業する。農地確保は解除、農大入学は中止、産業体験は継続(R7年11月28日就農相談)12/1 経営に自信が持てないとのことで就農断念された。
R7.10.23,杉伸太朗,＜研修、就農内容等の特記事項＞,H31.3月、農林大学校卒業６月下旬に情報交換と協議予定借用予定ハウスの現所有農家等でアルバイトしている。ハウスは確保済み（2カ所、16a＋8a）
R7.10.23,大塚由朗,＜研修、就農内容等の特記事項＞,現在、雇用研修をしながらハウス建設予定地を探している
R7.10.23,米山加朗,＜研修、就農内容等の特記事項＞,R8年4月農林大学校短期養成コース入学予定希望空きハウスを引き継ぎ就農予定
R7.10.23,今岡義朗,＜研修、就農内容等の特記事項＞,R5.3農大卒業後、浜田市で雇用就農（主にぶどう担当）新団地に入植すべく、R8.1から出雲市で雇用就農予定
R7.10.23,手銭洸朗,＜研修、就農内容等の特記事項＞,R6.3農林大卒業、出雲市の県農業技術センターに果樹作業員としてR9.3まで雇用研修父が経営するぶどう園の法人化に合わせ経営に入る予定
R7.10.23,伊藤颯朗,＜研修、就農内容等の特記事項＞,R6.3農林大卒業、出雲市の県畜産技術センターに畜産作業員としてR11.3まで雇用研修(5年間)父の肥育牛経営(120頭)を継承する親元就農か、認定新規就農者として新規部門の繁殖牛経営に取り組むか検討中。一方で、祖父母の経営する柿園の取扱いに悩んでいる。
R7.10.23,森山杏朗,認定年月日,R8.2（予定）
R7.10.23,川上貴朗,認定年月日,R8.2（予定）
R7.10.23,今岡孝朗,認定年月日,R8.2（予定）
R7.10.23,杉伸太朗,認定年月日,R8.2（予定）
R7.10.23,今岡義朗,認定年月日,未定
R7.10.23,錦織誠朗,就農年月(予定含),Ｒ6.4
R7.10.23,吉田悠朗,就農年月(予定含),Ｒ7.1
R7.10.23,佐野瑞朗,就農年月(予定含),未定
R7.10.23,谷口太朗,就農年月(予定含),Ｒ7.１
R7.10.23,恩田優朗,就農年月(予定含),未定
R7.10.23,橋本正朗,就農年月(予定含),Ｒ7.3（予定）
R7.10.23,大福ひ朗,就農年月(予定含),Ｒ7.3（予定）
R7.10.23,冨田里朗,就農年月(予定含),Ｒ7.3（予定）
R7.10.23,藤原駿朗,就農年月(予定含),R8.3
R7.10.23,原淳夫朗,就農年月(予定含),Ｒ7.6
R7.10.23,石飛葵朗,就農年月(予定含),Ｒ7.4
R7.10.23,大島浩朗,就農年月(予定含),未定
R7.10.23,藤原叶朗,就農年月(予定含),R9.3
R7.10.23,三成皓朗,就農年月(予定含),未定
R7.10.23,今井洋朗,就農年月(予定含),未定
R7.10.23,深澤慎朗,就農年月(予定含),Ｒ8.3（予定）
R7.10.23,森山杏朗,就農年月(予定含),Ｒ8.3（予定）
R7.10.23,竹下義朗,就農年月(予定含),Ｒ8.1（予定）
R7.10.23,川上貴朗,就農年月(予定含),Ｒ8.3（予定）
R7.10.23,今岡孝朗,就農年月(予定含),Ｒ8.3（予定）
R7.10.23,春日佑朗,就農年月(予定含),R10.10（予定）
R7.10.23,郷原一朗,就農年月(予定含),R9.3（予定）
R7.10.23,服部伸朗,就農年月(予定含),R9.3（予定）
R7.10.23,金子英朗,就農年月(予定含),R10.10（予定）
R7.10.23,國本崇朗,就農年月(予定含),R10.10（予定）
R7.10.23,芝田大朗,就農年月(予定含),R9.3（予定）
R7.10.23,大和田朗,就農年月(予定含),R9.3（予定）
R7.10.23,杉伸太朗,就農年月(予定含),R8.3（予定）
R7.10.23,大塚由朗,就農年月(予定含),R9.1（予定）
R7.10.23,米山加朗,就農年月(予定含),R9.3（予定）
R7.10.23,今岡義朗,就農年月(予定含),R10.10（予定）
R7.10.23,手銭洸朗,就農年月(予定含),R9.4（予定）
R7.10.23,伊藤颯朗,就農年月(予定含),R11.4（予定）
R8.1.1,竹下義朗,就農年月(予定含),予定
R8.3.1,深澤慎朗,就農年月(予定含),予定
R8.3.1,藤原駿朗,就農年月(予定含),予定
R7.10.23,錦織誠朗,産業体験・研修・雇用受入経営体名,(株)GARNETGARDEN
R7.10.23,吉田悠朗,産業体験・研修・雇用受入経営体名,農技センター
R7.10.23,佐野瑞朗,産業体験・研修・雇用受入経営体名,JAいずもアグリ開発
R7.10.23,谷口太朗,産業体験・研修・雇用受入経営体名,JAいずもアグリ開発
R7.10.23,恩田優朗,産業体験・研修・雇用受入経営体名,JAいずもアグリ開発
R7.10.23,橋本正朗,産業体験・研修・雇用受入経営体名,今若暖生
R7.10.23,大福ひ朗,産業体験・研修・雇用受入経営体名,伊藤康浩
R7.10.23,冨田里朗,産業体験・研修・雇用受入経営体名,星野博
R7.10.23,大田瑠朗,産業体験・研修・雇用受入経営体名,藤増牧場
R7.10.23,佐々木朗,産業体験・研修・雇用受入経営体名,かつべ種畜牧場
R7.10.23,藤原駿朗,産業体験・研修・雇用受入経営体名,神田農産
R7.10.23,原淳夫朗,産業体験・研修・雇用受入経営体名,
R7.10.23,石飛葵朗,産業体験・研修・雇用受入経営体名,（養成課程）
R7.10.23,大島浩朗,産業体験・研修・雇用受入経営体名,（株）わなか
R7.10.23,藤原叶朗,産業体験・研修・雇用受入経営体名,JAいずもアグリ開発
R7.10.23,三成皓朗,産業体験・研修・雇用受入経営体名,JAいずもアグリ開発
R7.10.23,今井洋朗,産業体験・研修・雇用受入経営体名,iaiファーム（株）伊藤康浩
R7.10.23,深澤慎朗,産業体験・研修・雇用受入経営体名,農技センター
R7.10.23,森山杏朗,産業体験・研修・雇用受入経営体名,常松修
R7.10.23,竹下義朗,産業体験・研修・雇用受入経営体名,（株）イ農ベルみだみ
R7.10.23,川上貴朗,産業体験・研修・雇用受入経営体名,iaiﾌｧｰﾑ(株)
R7.10.23,今岡孝朗,産業体験・研修・雇用受入経営体名,
R7.10.23,川上亜朗,産業体験・研修・雇用受入経営体名,
R7.10.23,勝部和朗,産業体験・研修・雇用受入経営体名,（農）おきす
R7.10.23,春日佑朗,産業体験・研修・雇用受入経営体名,青木文雄（予定）
R7.10.23,郷原一朗,産業体験・研修・雇用受入経営体名,神田農産(株)（予定）
R7.10.23,服部伸朗,産業体験・研修・雇用受入経営体名,今若暖生神田農産(株)
R7.10.23,金子英朗,産業体験・研修・雇用受入経営体名,iaiファーム（株）
R7.10.23,國本崇朗,産業体験・研修・雇用受入経営体名,iaiファーム（株）
R7.10.23,芝田大朗,産業体験・研修・雇用受入経営体名,iaiファーム（株）
R7.10.23,大和田朗,産業体験・研修・雇用受入経営体名,今若暖生
R7.10.23,杉伸太朗,産業体験・研修・雇用受入経営体名,
R7.10.23,大塚由朗,産業体験・研修・雇用受入経営体名,（株）イ農ベルみだみ
R7.10.23,米山加朗,産業体験・研修・雇用受入経営体名,岩谷隼汰
R7.10.23,今岡義朗,産業体験・研修・雇用受入経営体名,JAいずもアグリ開発
R7.10.23,手銭洸朗,産業体験・研修・雇用受入経営体名,農業技術センター
45953,伊藤颯朗,産業体験・研修・雇用受入経営体名,畜産技術センター
45082,錦織誠朗,認定年月日,
45441,吉田悠朗,認定年月日,
45492,谷口太朗,認定年月日,
45441,橋本正朗,認定年月日,
45441,大福ひ朗,認定年月日,
45492,冨田里朗,認定年月日,
45810,藤原駿朗,認定年月日,
45740,石飛葵朗,認定年月日,
45860,深澤慎朗,認定年月日,
45860,竹下義朗,認定年月日,
45860,川上亜朗,認定年月日,
45953,錦織誠朗,経営部門(主な品目),野菜（トマト）
45953,吉田悠朗,経営部門(主な品目),果樹（ぶどう）
45953,佐野瑞朗,経営部門(主な品目),果樹（ぶどう）
45953,谷口太朗,経営部門(主な品目),果樹（ぶどう）
45953,恩田優朗,経営部門(主な品目),果樹（ぶどう）
45953,橋本正朗,経営部門(主な品目),野菜（アスパラガス）
45953,大福ひ朗,経営部門(主な品目),果樹（ぶどう）
45953,冨田里朗,経営部門(主な品目),野菜（アスパラガス）
45953,大田瑠朗,経営部門(主な品目),肉用牛
45953,佐々木朗,経営部門(主な品目),肉用牛
45953,藤原駿朗,経営部門(主な品目),野菜（アスパラガス他）
45953,原淳夫朗,経営部門(主な品目),野菜（いちご）
45953,石飛葵朗,経営部門(主な品目),野菜（かんしょ）
45953,大島浩朗,経営部門(主な品目),野菜（いちご）
45953,藤原叶朗,経営部門(主な品目),果樹（ぶどう）
45953,三成皓朗,経営部門(主な品目),果樹（ぶどう）
45953,今井洋朗,経営部門(主な品目),果樹（ぶどう）
45953,深澤慎朗,経営部門(主な品目),果樹（ぶどう）
45953,森山杏朗,経営部門(主な品目),果樹（柿）
45953,竹下義朗,経営部門(主な品目),その他（菌床しいたけ）
45953,川上貴朗,経営部門(主な品目),果樹（ぶどう）
45953,今岡孝朗,経営部門(主な品目),果樹（ぶどう）
45953,川上亜朗,経営部門(主な品目),果樹（ぶどう）
45953,春日佑朗,経営部門(主な品目),果樹（ぶどう）
45953,郷原一朗,経営部門(主な品目),野菜（アスパラガス）
45953,服部伸朗,経営部門(主な品目),野菜（アスパラガス）
45953,金子英朗,経営部門(主な品目),果樹（ぶどう）
45953,國本崇朗,経営部門(主な品目),果樹（ぶどう）
45953,芝田大朗,経営部門(主な品目),果樹（ぶどう）
45953,大和田朗,経営部門(主な品目),野菜（アスパラガス）
45953,杉伸太朗,経営部門(主な品目),果樹（ぶどう）
45953,大塚由朗,経営部門(主な品目),その他（菌床しいたけ）
45953,米山加朗,経営部門(主な品目),果樹（ぶどう）
45953,今岡義朗,経営部門(主な品目),果樹（ぶどう）
45953,手銭洸朗,経営部門(主な品目),果樹（ぶどう）
45953,伊藤颯朗,経営部門(主な品目),肥育牛
45953,服部伸朗,市町村,出雲市
45953,今岡孝朗,市町村,出雲市
45953,橋本正朗,市町村,出雲市
45953,原淳夫朗,市町村,出雲市
45953,大和田朗,市町村,出雲市
45953,川上貴朗,市町村,出雲市
45953,竹下義朗,市町村,出雲市
45953,冨田里朗,市町村,出雲市
45953,金子英朗,市町村,出雲市
45953,深澤慎朗,市町村,出雲市
45953,谷口太朗,市町村,出雲市
45953,國本崇朗,市町村,出雲市
45953,大福ひ朗,市町村,出雲市
45953,森山杏朗,市町村,出雲市
45953,藤原駿朗,市町村,出雲市
45953,吉田悠朗,市町村,出雲市
45953,錦織誠朗,市町村,出雲市
45953,大島浩朗,市町村,出雲市
45953,佐野瑞朗,市町村,出雲市
45953,三成皓朗,市町村,出雲市
45953,藤原叶朗,市町村,出雲市
45953,勝部正朗,市町村,出雲市
45953,ＪＡい朗,市町村,出雲市
45953,（株）朗,市町村,出雲市
45953,神田農朗,市町村,出雲市
45953,森山智朗,市町村,出雲市
45953,藤間正朗,市町村,出雲市
45953,方地孝朗,市町村,出雲市
45953,（株）朗,市町村,出雲市
45953,（株）朗,市町村,出雲市
45953,福島克朗,市町村,出雲市
45953,栗本剛朗,市町村,出雲市
45953,川上勝朗,市町村,出雲市
45953,神田颯朗,市町村,出雲市
45953,深津健朗,市町村,出雲市
45953,山田郁朗,市町村,出雲市
45953,柳楽達朗,市町村,出雲市
45953,糸賀治朗,市町村,出雲市
45953,岩谷隼朗,市町村,出雲市
45953,橋和布朗,市町村,出雲市
45953,（株）朗,市町村,出雲市
45953,高橋和朗,市町村,出雲市
45953,中村陽朗,市町村,出雲市
45953,井上翔朗,市町村,出雲市
45953,藤川裕朗,市町村,出雲市
45953,高橋英朗,市町村,出雲市
45953,戸山眞朗,市町村,出雲市
45953,三原雅朗,市町村,出雲市
45953,戸山眞朗,市町村,出雲市
45953,高橋慶朗,市町村,出雲市
45953,玉木農朗,市町村,出雲市
45953,柳楽和朗,市町村,出雲市
45953,石飛育朗,市町村,出雲市
45953,小田武朗,市町村,出雲市
45953,山内庸朗,市町村,出雲市
45953,山本晃朗,市町村,出雲市
45953,永岡彩朗,市町村,出雲市
45953,宇森裕朗,市町村,出雲市
45953,荒木大朗,市町村,出雲市
45953,（株）朗,市町村,出雲市
45953,桃谷洸朗,市町村,出雲市
45953,川上亜朗,市町村,出雲市
45953,横野充朗,市町村,出雲市
45953,今若暖朗,市町村,出雲市
45953,星野博朗,市町村,出雲市
45953,（同）朗,市町村,出雲市
45953,石飛葵朗,市町村,出雲市
45953,恩田優朗,市町村,出雲市
45953,大田瑠朗,市町村,出雲市
45953,佐々木朗,市町村,出雲市
45953,今井洋朗,市町村,出雲市
45953,勝部和朗,市町村,出雲市
45953,春日佑朗,市町村,出雲市
45953,郷原一朗,市町村,出雲市
45953,芝田大朗,市町村,出雲市
45953,杉伸太朗,市町村,出雲市
45953,大塚由朗,市町村,出雲市
45953,米山加朗,市町村,出雲市
45953,今岡義朗,市町村,出雲市
45953,手銭洸朗,市町村,出雲市
45953,伊藤颯朗,市町村,出雲市
45953,神田いずみ,市町村,出雲市
